Publication,Tags
HDMI,Confounding
HDMI,Missing data
HDMI,AI/ML
CI3 simulation paper,Missing data
CI3 simulation paper,Confounding
Benzo IO paper,Clinical
JAMIA Open 2024,Missing data
JAMIA Open 2024,Software
Am J Epidemiol 2023,Confounding
Am J Epidemiol 2023,Simulation
PDS 2023,Software
PDS 2023,Reproducibility
CPT Pharmacometrics Syst Pharmacol 2023,Missing data
Clin Pharmacol Ther 2023,Data continuity
Clin Pharmacol Ther 2023,Prognostic/predictive models
Mult Scler Relat Disord 2022,Clinical
JAMA Netw Open 2022,Clinical
Front Artif Intell 2021 ,Prognostic/predictive models
Front Artif Intell 2021 ,AI/ML
Epidemiology 2021,Confounding
Epidemiology 2021,AI/ML
Ann Oncol 2020,Prognostic/predictive models
Ann Oncol 2020,AI/ML
